Entity,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Azerbaijan,879960,879960,879960,879960,879960,879960,879960,879960,879960,879960,880346,881121,882289,883853,885817,888186,890961,894149,897751,901772,906216,911086,916387,922122,928296,934913,941976,949490,957459,965887,974778,983751,992807,1001946,1011169,1020477,1029871,1039351,1048919,1058574,1068319,1078153,1088077,1098093,1108202,1118403,1128698,1139088,1149574,1160156,1170942,1181829,1192817,1203907,1215101,1226398,1237801,1249309,1260924,1272648,1284480,1296423,1308476,1320641,1332920,1345313,1357821,1370445,1383186,1396046,1409026,1422126,1434947,1448288,1461753,1475343,1488685,1502526,1516496,1530595,1544479,1558839,1573332,1587649,1602409,1617307,1632070,1647243,1662558,1678015,1693616,1709362,1725254,1741294,1757483,1773823,1790315,1806959,1823759,1840715,1857828,1874838,1892269,1909861,1927617,1945538,1963242,1981494,1999916,2018509,2037161,2056101,2075217,2094510,2113982,2133636,2153473,2173230,2193235,2213424,2233799,2254362,2275114,2296057,2317193,2338523,2360050,2381775,2403700,2425826,2448157,2470693,2493436,2516389,2539553,2562930,2586522,2610332,2634361,2658610,2683084,2707782,2732708,2757863,2783250,2808871,2834727,2860821,2887156,2928000,2987000,3060000,3143000,3233000,3329000,3431000,3537000,3649000,3768000,3895000,4030000,4171000,4315000,4457000,4593000,4722000,4844000,4960000,5072000,5180000,5285000,5385000,5483000,5579000,5674000,5769000,5863000,5958000,6054000,6151000,6249000,6350000,6452000,6558000,6666000,6779000,6893000,7010000,7127000,7243000,7358000,7472000,7582000,7684000,7775000,7856000,7926000,7990000,8054000,8123000,8197000,8277000,8361000,8449000,8539000,8630000,8724000,8822000,8924000,9032000,9146000,9265000,9385000,9506000,9623000,9736000,9845000,9950000,10048000
Bahamas,27350,27350,27350,27350,27350,27350,27350,27350,27350,27350,27351,27353,27356,27360,27365,27371,27378,27386,27395,27404,27415,27427,27440,27454,27469,27485,27502,27520,27538,27558,27579,27600,27621,27642,27663,27684,27705,27726,27747,27768,27789,27839,27919,28029,28171,28344,28550,28790,29064,29372,29718,30081,30461,30858,31274,31707,32159,32629,33117,33624,34151,34699,35239,35773,36298,36814,37322,37820,38308,38787,39254,39703,40136,40591,41047,41502,41964,42424,42884,43343,43823,44274,44720,45182,45612,46047,46457,46892,47345,47816,48305,48814,49341,49887,50453,51040,51606,52139,52637,53100,53528,54022,54366,54663,54913,55115,55316,55520,55725,55827,55964,55830,55525,55223,54921,54622,54324,54025,53729,53434,53459,53806,54477,55157,55846,56543,57249,57963,58687,59420,60146,60866,61579,62300,63030,63768,64515,65271,66036,66809,67592,68384,69369,70553,71941,73358,74802,76274,77776,79000,80000,81000,83000,86000,89000,92000,96000,100000,104000,110000,115000,121000,127000,134000,140000,146000,153000,159000,164000,169000,174000,178000,182000,185000,189000,193000,197000,201000,206000,211000,215000,220000,225000,230000,235000,239000,243000,247000,252000,256000,261000,266000,271000,276000,280000,284000,287000,291000,294000,298000,303000,308000,313000,319000,325000,331000,337000,344000,350000,355000,360000,364000,367000,371000,374000,378000,382000,386000,389000
Bahrain,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64474,64473,64473,64472,64472,64471,64471,64470,64470,64469,64486,64519,64571,64639,64725,64829,64950,65089,65246,65421,65614,65825,65968,66222,66496,66791,67064,67416,67791,68169,68543,68924,69308,69689,70076,70467,70854,71249,71645,72044,72445,72848,73254,73662,74072,74484,74899,75315,75735,76156,76580,77002,77431,77862,78296,78731,79164,79605,80048,80493,80940,81390,81947,82611,83384,84164,84952,85748,86551,87362,88180,89006,89840,90681,91531,92388,93253,94127,95009,95898,96797,97703,98619,99542,100475,101416,102366,103325,104292,105269,106255,107251,108255,109269,110293,111326,112369,113421,114484,116000,117000,120000,123000,128000,134000,139000,145000,151000,157000,162000,168000,173000,178000,183000,187000,192000,196000,201000,206000,213000,220000,229000,240000,252000,267000,284000,303000,323000,343000,360000,374000,386000,396000,407000,419000,433000,449000,465000,481000,496000,510000,523000,536000,550000,564000,579000,595000,614000,637000,665000,698000,735000,779000,830000,889000,958000,1036000,1115000,1185000,1241000,1278000,1300000,1315000,1336000,1372000,1426000,1494000,1569000,1641000
Bangladesh,19265272,19303260,19341324,19379460,19417674,19455964,19494328,19532768,19571282,19611268,19652108,19695200,19740568,19788216,19838164,19890424,19945010,20001936,20061216,20122864,20186896,20253324,20322164,20393428,20467134,20543294,20621924,20703036,20786650,20872776,20961432,21050464,21139874,21229664,21319836,21410388,21501328,21592652,21684364,21776468,21868960,21961848,22055128,22148806,22242880,22337356,22432232,22527510,22623194,22719284,22812156,22905404,22999036,23093048,23187444,23282226,23377394,23472952,23568898,23665236,23763868,23864808,23968082,24073708,24181704,24292094,24404896,24520134,24637826,24757994,24880660,25005842,25122046,25252924,25386592,25523072,25655880,25799852,25946972,26094932,26241342,26390976,26541466,26690684,26842880,26995944,27148024,27302824,27458508,27615080,27772542,27930904,28090164,28250336,28411416,28573416,28736340,28900192,29064976,29230700,29397368,29563300,29731864,29901388,30071876,30243336,30413348,30586752,30761146,30936532,31112210,31289596,31458952,31620188,31773212,31926978,32081488,32243650,32404898,32566952,32729816,32893496,33057992,33223312,33389460,33556440,33724252,33892904,34103768,34357412,34654416,34953984,35256144,35560912,35868320,36178380,36491124,36806572,37124744,37445668,37642124,37713220,37658060,37602984,37547984,37511344,37493040,37493040,37493040,37895000,38706000,39490000,40292000,41150000,42086000,43114000,44233000,45435000,46701000,48014000,49363000,50752000,52202000,53742000,55385000,57158000,59034000,60918000,62680000,64232000,65532000,66626000,67638000,68742000,70066000,71652000,73464000,75450000,77529000,79639000,81768000,83932000,86142000,88417000,90764000,93188000,95671000,98186000,100695000,103172000,105599000,107984000,110351000,112738000,115170000,117650000,120161000,122683000,125190000,127658000,130089000,132478000,134792000,136986000,139036000,140920992,142660000,144304000,145924992,147575008,149272992,151006000,152760992,154516992,156256000,157976992,159684992,161376992,163046000
Barbados,81729,81729,81729,81729,81729,81729,81729,81729,81729,81729,81793,81923,82120,82384,82718,83121,83595,84142,84762,85456,86227,87075,88002,89008,90096,91266,92519,93858,95284,96798,98401,100031,101688,103372,105084,106825,108594,110393,112221,114080,115969,117859,119750,121641,123531,125421,127310,129197,131082,132965,134844,136675,138458,140190,141870,143498,145071,146589,148049,149452,150794,152077,153330,154553,155744,156903,158029,159122,160181,161205,162194,163148,164079,165051,166034,167026,167997,169011,170035,171071,172089,173141,174202,175249,176330,177429,178516,179647,180796,181964,183151,184356,185581,186824,188088,189370,190319,190926,191191,191119,190710,190872,189674,188067,186055,183639,181182,178830,176508,174350,172157,170366,168818,167283,165762,164256,162762,161284,159819,158368,157849,158262,159608,160964,162333,163713,165104,166508,167923,169351,170790,172242,173706,175183,176672,178173,179688,181215,182756,184309,185876,187456,189050,190657,192277,194734,198050,202252,206543,211000,216000,220000,223000,225000,227000,228000,229000,230000,230000,231000,232000,233000,234000,235000,235000,236000,237000,237000,238000,239000,240000,242000,243000,245000,246000,248000,249000,250000,251000,252000,253000,254000,255000,255000,256000,257000,258000,259000,260000,261000,262000,263000,264000,265000,266000,267000,268000,269000,270000,272000,272000,273000,274000,275000,276000,277000,279000,280000,281000,282000,283000,284000,284000,285000,285000,286000,286000,287000,287000
Belarus,2355081,2355081,2355081,2355081,2355081,2355081,2355081,2355081,2355081,2355081,2356113,2358186,2361309,2365493,2370748,2377082,2384506,2393030,2402665,2413420,2425305,2438331,2452509,2467849,2484362,2502059,2520950,2541046,2562359,2584900,2608680,2632679,2656898,2681340,2706008,2730902,2756025,2781379,2806966,2832789,2858849,2885149,2911691,2938478,2965510,2992792,3020324,3048110,3076151,3104450,3133208,3162233,3191527,3221092,3250931,3281046,3311440,3342116,3373076,3404323,3435859,3467687,3499811,3532231,3564952,3597976,3631306,3664945,3698896,3733160,3767743,3802645,3836799,3872341,3908213,3944417,3979955,4016823,4054033,4091588,4128567,4166812,4205411,4243538,4282848,4322522,4361832,4402237,4443017,4484175,4525714,4567638,4609950,4652654,4695753,4739252,4783154,4827462,4872181,4917314,4962865,5008138,5054531,5101353,5148609,5196302,5243412,5291983,5341005,5390481,5440111,5490504,5541365,5592696,5644504,5696791,5749562,5802333,5855712,5909582,5963947,6018813,6074183,6130063,6186456,6243369,6300805,6358770,6417267,6476303,6535882,6596009,6656690,6717928,6779730,6842100,6905045,6968568,7032675,7097373,7162665,7228559,7295058,7362169,7429898,7498250,7567230,7636845,7707100,7745000,7699000,7677000,7680000,7704000,7747000,7807000,7879000,7959000,8042000,8125000,8204000,8280000,8353000,8428000,8506000,8587000,8671000,8754000,8836000,8914000,8987000,9057000,9123000,9188000,9253000,9316000,9379000,9441000,9505000,9570000,9636000,9703000,9770000,9837000,9901000,9965000,10026000,10081000,10124000,10151000,10161000,10154000,10135000,10108000,10078000,10045000,10009000,9970000,9924000,9872000,9811000,9746000,9679000,9617000,9562000,9517000,9481000,9453000,9433000,9421000,9415000,9417000,9424000,9432000,9439000,9446000,9450000,9453000,9452000
Belgium,3152306,3166538,3180835,3195197,3209623,3224114,3238671,3253294,3267982,3283959,3299476,3315795,3332912,3350824,3369577,3389119,3409494,3430748,3452829,3475782,3499557,3524149,3549557,3575823,3602946,3630921,3659746,3689465,3720075,3751571,3784000,3816714,3849667,3882857,3916286,3949952,3983905,4018143,4052571,4087429,4122048,4156524,4190810,4224952,4258905,4292667,4326286,4359714,4392952,4426000,4459059,4492118,4525129,4558093,4591058,4623974,4656844,4689713,4721059,4753834,4786608,4820002,4853968,4888600,4923852,4959723,4996546,5034227,5072908,5112495,5153748,5196572,5235513,5280844,5327808,5376561,5420308,5472678,5523637,5574831,5624971,5677656,5730541,5786032,5841590,5898456,5957462,6014482,6071776,6129251,6185454,6242658,6301043,6360611,6421361,6485475,6552681,6622343,6693823,6767030,6841511,6912568,6994152,7077403,7161766,7239239,7333048,7397676,7449502,7499928,7536153,7592180,7660877,7717239,7749263,7751283,7718297,7673616,7614606,7562598,7543594,7571266,7638944,7708289,7777967,7843645,7906655,7969332,8026675,8079351,8130693,8182368,8227709,8261715,8289719,8317724,8346395,8372066,8372066,8339394,8291053,8256380,8261381,8292053,8333727,8386735,8459414,8541761,8601268,8638000,8680000,8728000,8779000,8833000,8887000,8942000,8998000,9054000,9110000,9167000,9225000,9284000,9340000,9394000,9444000,9489000,9529000,9566000,9600000,9632000,9663000,9693000,9721000,9747000,9772000,9795000,9817000,9837000,9854000,9869000,9881000,9890000,9898000,9906000,9917000,9929000,9942000,9959000,9980000,10007000,10039000,10078000,10119000,10156000,10186000,10208000,10224000,10237000,10255000,10282000,10319000,10365000,10419000,10480000,10547000,10619000,10698000,10779000,10860000,10939000,11014000,11085000,11154000,11221000,11288000,11354000,11420000,11482000,11539000
Belize,25526,25526,25526,25526,25526,25526,25526,25526,25526,25526,25527,25528,25529,25531,25534,25537,25541,25546,25551,25556,25562,25569,25576,25583,25592,25600,25610,25620,25630,25641,25652,25664,25675,25687,25698,25710,25722,25733,25745,25756,25768,25779,25791,25802,25814,25826,25837,25849,25860,25872,25884,25891,25893,25889,25880,25866,25846,25821,25791,25755,25714,25682,25659,25644,25638,25641,25654,25675,25705,25745,25794,25860,25860,25970,26105,26266,26372,26593,26843,27123,27365,27671,27992,28282,28639,29022,29404,29836,30286,30754,31240,31746,32270,32815,33380,33966,34539,35089,35614,36115,36589,37116,37527,37902,38241,38541,38838,39144,39451,39793,40125,40549,41030,41518,42011,42510,43015,43524,44040,44561,45100,45657,46232,46815,47404,48001,48606,49218,49838,50466,51053,51599,52103,52612,53125,53644,54167,54696,55230,55769,56313,56863,57418,57979,58545,59704,61487,63922,66454,69000,71000,73000,76000,78000,80000,82000,85000,87000,89000,92000,95000,97000,100000,103000,106000,109000,113000,116000,119000,122000,125000,127000,129000,131000,133000,135000,137000,139000,141000,144000,148000,151000,156000,160000,165000,170000,174000,179000,183000,188000,191000,194000,198000,202000,207000,214000,222000,230000,239000,247000,255000,262000,269000,277000,284000,291000,299000,307000,315000,322000,330000,338000,346000,353000,361000,368000,376000,383000,390000
Benin,636559,636559,636559,636559,636559,636559,636559,636559,636559,636559,636855,637451,638349,639552,641063,642886,645022,647476,650250,653348,656772,660526,664614,669038,673801,678907,684360,690162,696317,702829,709702,716641,723648,730723,737868,745083,752368,759725,767153,774654,782228,789877,797600,805398,813273,821225,829255,837363,845551,853818,862203,870670,879220,887855,896574,905378,914269,923248,932314,941470,950715,960052,969479,979000,988614,998323,1008126,1018026,1028024,1038119,1048314,1058608,1068667,1079162,1089759,1100461,1110952,1121862,1132879,1144004,1154947,1166289,1177742,1189045,1200722,1212514,1224189,1236211,1248351,1260610,1272989,1285490,1298114,1310862,1323735,1336734,1349861,1363117,1376503,1390021,1403671,1417232,1431149,1445203,1459396,1473727,1487871,1502482,1517236,1532136,1547084,1562277,1577619,1593111,1608756,1624554,1640508,1656525,1672722,1689077,1705592,1722269,1739109,1756113,1773284,1790623,1808131,1825810,1843663,1861689,1879892,1898273,1916834,1935576,1954502,1973612,1992910,2012396,2032072,2051941,2072005,2092264,2112722,2133379,2154239,2175302,2196572,2218049,2239736,2255000,2258000,2265000,2274000,2287000,2304000,2323000,2346000,2371000,2400000,2432000,2466000,2503000,2543000,2586000,2632000,2682000,2735000,2792000,2851000,2912000,2977000,3044000,3114000,3187000,3265000,3347000,3433000,3524000,3619000,3717000,3820000,3928000,4040000,4157000,4279000,4405000,4535000,4673000,4820000,4978000,5149000,5332000,5522000,5714000,5906000,6094000,6282000,6470000,6664000,6866000,7077000,7295000,7521000,7750000,7982000,8217000,8455000,8697000,8945000,9199000,9461000,9729000,10005000,10287000,10576000,10872000,11175000,11485000,11801000
Bhutan,89989,89989,89989,89989,89989,89989,89989,89989,89989,89989,90010,90051,90114,90197,90302,90427,90574,90743,90933,91144,91378,91633,91910,92209,92530,92874,93239,93628,94039,94472,94929,95387,95848,96311,96776,97244,97714,98186,98660,99137,99616,100097,100581,101066,101555,102045,102538,103034,103531,104032,104596,105163,105733,106306,106883,107462,108045,108630,109219,109811,110406,111005,111606,112211,112819,113430,114045,114662,115284,115908,116536,117167,117792,118430,119071,119716,120356,121008,121663,122321,122976,123641,124310,124976,125653,126333,127010,127697,128388,129083,129781,130483,131189,131898,132612,133329,134050,134775,135503,136236,136972,137708,138452,139200,139953,140709,141462,142226,142995,143767,144542,145323,146108,146897,147690,148488,149290,149983,150708,151436,152167,152902,153641,154383,155129,155879,156632,157388,158149,158913,159680,160452,161227,162006,162788,163575,164365,165159,165957,166759,167564,168374,169187,170005,170826,171651,172480,173314,174151,177000,181000,185000,189000,193000,197000,202000,207000,212000,218000,223000,229000,235000,241000,247000,254000,262000,270000,279000,288000,297000,307000,317000,327000,337000,348000,360000,371000,383000,395000,407000,418000,429000,440000,451000,464000,479000,494000,510000,522000,531000,535000,535000,533000,532000,535000,541000,552000,564000,578000,591000,604000,616000,628000,639000,649000,657000,665000,672000,678000,686000,693000,702000,710000,719000,728000,737000,746000,754000,763000
Bolivia,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100390,1101172,1102350,1103927,1105905,1108288,1111078,1114279,1117893,1121924,1126375,1131249,1136549,1142278,1148439,1155036,1162072,1169550,1177474,1185846,1194670,1203560,1212516,1221539,1230629,1239787,1249013,1258307,1267671,1277104,1286397,1295549,1304556,1313418,1322132,1330696,1339108,1347366,1355468,1363412,1373148,1382744,1392196,1401502,1410658,1419663,1428512,1437203,1445733,1454099,1462297,1470537,1478819,1487144,1495511,1503922,1512376,1520874,1529415,1538000,1546629,1555303,1563934,1572696,1581503,1590355,1599169,1608110,1617097,1626131,1635135,1644264,1653440,1662596,1671869,1681190,1690500,1699919,1709387,1718905,1728473,1738091,1747759,1757478,1767247,1777732,1788835,1800652,1813184,1826430,1840391,1853479,1869224,1885950,1903539,1921288,1938909,1957051,1975233,1993674,2012084,2030680,2056583,2090184,2131149,2173308,2215934,2255850,2297091,2333953,2366070,2393807,2421544,2449647,2477749,2506581,2535778,2565341,2594903,2624830,2655122,2686144,2717531,2749283,2781035,2813152,2845634,2878481,2911693,2945269,2979576,3014248,3049284,3084686,3120453,3156584,3193081,3229942,3156084,3082000,3124000,3171000,3221000,3274000,3331000,3391000,3454000,3519000,3587000,3657000,3729000,3803000,3879000,3958000,4039000,4123000,4209000,4298000,4389000,4484000,4582000,4682000,4786000,4892000,5001000,5113000,5228000,5345000,5462000,5580000,5697000,5814000,5933000,6054000,6179000,6309000,6443000,6580000,6721000,6865000,7011000,7161000,7313000,7467000,7622000,7779000,7937000,8097000,8257000,8418000,8580000,8743000,8906000,9069000,9232000,9395000,9558000,9721000,9885000,10049000,10213000,10378000,10542000,10707000,10870000,11032000,11193000,11353000,11513000
Bosnia and Herzegovina,851806,851806,851806,851806,851806,851806,851806,851806,851806,851806,852163,852880,853961,855408,857224,859414,861980,864926,868255,871970,876074,880572,885466,890761,896459,902564,909080,916010,923359,931129,939324,947592,955932,964346,972834,981396,990034,998748,1007539,1016407,1025353,1034378,1043482,1052666,1061932,1071278,1080707,1090219,1099815,1109495,1119185,1128960,1138820,1148766,1158799,1168920,1179129,1189427,1199815,1210294,1220864,1231527,1242283,1253132,1264077,1275117,1286253,1297487,1308819,1320250,1331780,1343411,1354798,1366630,1378566,1390606,1402428,1414676,1427031,1439494,1451769,1464448,1477238,1489873,1502885,1516010,1529015,1542369,1555840,1569428,1583134,1596961,1610908,1624977,1639169,1653484,1667925,1682492,1697186,1712008,1726960,1741820,1757032,1772377,1787856,1803470,1818895,1834780,1850804,1866968,1883177,1899623,1916214,1932949,1949830,1966859,1984036,2001544,2019161,2036933,2054861,2072948,2091193,2109599,2128167,2146898,2165794,2184857,2204087,2223487,2243057,2262800,2282716,2302808,2323077,2343523,2364150,2384959,2405950,2427127,2448489,2470040,2491781,2513712,2535837,2558157,2580673,2603387,2626301,2661000,2711000,2765000,2821000,2879000,2936000,2993000,3050000,3107000,3165000,3226000,3289000,3353000,3418000,3479000,3536000,3587000,3633000,3675000,3717000,3761000,3805000,3851000,3897000,3942000,3985000,4025000,4063000,4100000,4139000,4180000,4222000,4265000,4308000,4351000,4392000,4436000,4480000,4509000,4508000,4463000,4369000,4234000,4079000,3937000,3829000,3764000,3736000,3734000,3743000,3751000,3756000,3759000,3762000,3764000,3765000,3765000,3763000,3754000,3736000,3705000,3661000,3605000,3543000,3482000,3429000,3386000,3352000,3324000,3301000
Botswana,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121000,121030,121060,121090,121120,121150,121180,121210,121240,121270,121300,121330,121360,121390,121420,121450,121480,121510,121540,121570,121600,121630,121660,121690,121720,121750,121780,121810,121840,121870,121900,121929,121959,121989,122019,122049,122079,122109,122139,122169,122199,122229,122259,122289,122319,122349,122379,122409,122439,122469,122551,122685,122750,122971,123257,123607,124023,124434,125044,125657,126673,127557,129530,132207,134939,137728,140574,143479,146397,149386,152436,156437,161442,167506,173797,180325,187097,194124,201415,208980,216829,224973,233423,242190,251286,260724,268100,273310,276246,279214,282214,285246,288310,291408,294539,297703,308502,327677,356031,386838,413000,424000,435000,445000,455000,463000,471000,479000,486000,494000,503000,513000,524000,536000,548000,560000,572000,584000,597000,611000,628000,646000,667000,690000,715000,741000,770000,801000,832000,865000,898000,930000,963000,996000,1031000,1070000,1111000,1155000,1200000,1244000,1287000,1326000,1364000,1399000,1434000,1469000,1505000,1540000,1576000,1610000,1643000,1675000,1705000,1734000,1766000,1799000,1836000,1875000,1916000,1953000,1987000,2015000,2040000,2063000,2089000,2121000,2160000,2205000,2254000,2304000
Brazil,3678743,3718270,3758222,3798603,3839418,3880671,3922368,3964513,4007110,4058652,4103367,4149685,4197643,4247275,4298619,4351710,4406588,4463290,4521855,4582325,4644739,4709139,4775566,4844066,4914680,4987454,5062432,5139663,5219192,5301068,5385339,5470950,5557922,5646276,5736036,5827222,5919857,6013965,6109570,6206694,6305149,6404954,6506126,6608684,6712647,6818032,6924860,7033150,7142922,7254194,7368030,7483439,7600444,7719066,7839327,7961250,8084856,8210168,8337210,8466005,8598165,8734010,8873650,9017150,9164571,9316068,9471701,9631576,9795797,9964419,10137593,10315418,10479440,10667073,10859847,11057917,11246611,11456866,11673061,11893392,12106746,12335204,12568012,12794883,13042044,13299634,13544187,13820466,14109162,14410739,14725566,15054108,15396826,15754092,16126463,16512388,16902996,17298380,17698544,18103490,18513216,18923954,19341472,19762800,20187716,20618800,21037526,21486704,21945484,22414076,22885956,23374714,23873698,24383584,24904038,25436078,25979032,26528964,27091548,27660864,28235224,28814632,29404808,30007096,30621836,31249024,31888996,32542092,33208648,33889000,34583144,35291424,36014168,36752056,37505088,38273256,39057240,39857376,40674000,41545132,42480528,43482888,44516536,45575080,46658528,47767884,48903484,50066336,51929304,53975000,55606000,57284000,58999000,60749000,62534000,64356000,66221000,68140000,70123000,72179000,74311000,76514000,78773000,81065000,83374000,85697000,88036000,90387000,92747000,95113000,97483000,99859000,102259000,104706000,107216000,109791000,112425000,115121000,117878000,120694000,123570000,126498000,129449000,132384000,135274000,138108992,140892000,143628000,146328000,149003008,151648000,154259008,156848992,159432992,162020000,164615008,167208992,169784992,172319008,174790000,177196000,179538000,181808992,184006000,186127008,188167008,190130000,192030000,193887008,195714000,197515008,199287008,201036000,202764000,204472000,206163008,207834000,209468992,211050000
Brunei,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2130,2134,2141,2149,2160,2174,2189,2207,2228,2251,2277,2305,2336,2369,2406,2445,2488,2533,2581,2632,2687,2743,2799,2857,2916,2977,3039,3101,3166,3231,3298,3367,3436,3507,3580,3654,3730,3807,3886,3966,4048,4132,4217,4304,4393,4484,4577,4671,4767,4866,4970,5079,5194,5315,5443,5577,5718,5866,6021,6184,6354,6533,6686,6882,7088,7304,7501,7740,7991,8250,8495,8770,9054,9326,9628,9940,10242,10574,10917,11271,11636,12013,12403,12805,13220,13649,14091,14548,15020,15507,16010,16501,17036,17588,18158,18747,19309,19935,20581,21180,21808,22285,22659,23039,23425,23819,24218,24627,25042,25463,25871,26265,26644,27028,27417,27812,28213,28620,29032,29451,29928,30466,31067,31679,32304,32940,33590,34252,34927,35616,36318,37034,37764,38509,39268,40042,41298,43069,45393,48000,51000,54000,57000,60000,63000,67000,70000,74000,78000,82000,86000,89000,94000,98000,102000,107000,112000,118000,124000,130000,136000,142000,149000,155000,162000,168000,175000,181000,188000,194000,200000,206000,212000,218000,224000,231000,238000,244000,251000,259000,266000,274000,282000,289000,297000,305000,312000,319000,326000,333000,340000,347000,353000,359000,365000,370000,375000,379000,384000,389000,394000,399000,404000,410000,415000,420000,424000,429000,433000
Bulgaria,2001629,2010981,2020378,2029818,2039302,2048830,2058403,2068021,2077684,2088223,2097959,2107719,2117503,2127312,2137144,2147001,2156882,2166788,2176718,2186672,2196650,2206652,2216679,2226731,2236806,2246907,2257031,2267180,2277353,2287551,2297773,2308041,2318355,2328715,2339121,2349574,2360073,2370619,2381213,2391853,2402211,2412284,2422071,2431569,2440776,2449692,2458313,2466639,2474667,2482395,2489864,2497029,2503889,2510442,2516686,2522618,2528238,2533543,2538530,2543199,2549117,2556638,2565788,2576594,2589082,2603279,2619212,2636909,2656398,2677708,2700867,2725906,2744010,2773335,2804803,2838447,2869346,2908902,2950968,2993642,3035269,3079162,3123690,3167343,3213306,3260097,3305964,3354349,3403632,3453830,3504957,3557032,3610070,3664089,3719106,3774137,3828984,3883630,3938061,3992259,4046210,4101075,4153970,4206327,4258123,4310557,4362116,4415830,4472233,4531387,4590745,4657558,4718716,4774066,4823455,4873354,4923770,4974596,5025974,5085764,5164135,5261911,5371368,5483160,5596621,5704075,5798514,5880273,5956692,6034446,6113201,6193291,6274382,6350801,6418210,6473272,6522995,6571382,6622106,6672496,6724888,6778949,6835679,6892744,6950141,7009875,7072612,7137685,7200088,7251000,7311000,7372000,7435000,7498000,7561000,7625000,7689000,7754000,7819000,7886000,7953000,8022000,8091000,8158000,8223000,8284000,8343000,8400000,8455000,8508000,8559000,8609000,8656000,8699000,8738000,8773000,8802000,8828000,8853000,8879000,8905000,8931000,8953000,8969000,8975000,8973000,8961000,8937000,8898000,8841000,8767000,8676000,8576000,8475000,8379000,8292000,8212000,8138000,8067000,7998000,7931000,7866000,7804000,7745000,7687000,7631000,7577000,7524000,7474000,7425000,7379000,7334000,7290000,7246000,7200000,7152000,7102000,7052000,7000000
